id,title,originaltitle,sorttitle,tag,set,year,ratings_imdb,userrating,plot,tagline,runtime,thumb,fanart,mpaa,genre,country,premiered,studio,credits,director,trailer,actor_1_name,actor_1_role,actor_1_order,actor_1_thumb,actor_2_name,actor_2_role,actor_2_order,actor_2_thumb,actor_3_name,actor_3_role,actor_3_order,actor_3_thumb,uniqueid_imdb,uniqueid_tmdb,video_codec,video_aspect,video_width,video_height,video_duration,audio_codec,audio_language,audio_channels,subtitle_language,dateadded
550,Fight Club,Fight Club,Fight Club,,,1999,8.8,,"An office worker suffering from insomnia meets a soap salesman, and together they form an underground fight club that spirals out of control.",First rule: You do not talk about Fight Club.,139,thumb.jpg,fanart.jpg,R,Drama,USA,,Fox 2000 Pictures,Jim Uhls,David Fincher,trailer.mp4,Brad Pitt,Taylor Durden,1,actor1.jpg,Edward Norton,The Narrator,2,actor2.jpg,Helena Bonham Carter,Marla Singer,3,actor3.jpg,tt0137523,550,H.264,2.35,1920,1080,8340,aac,English,6,English,2024-08-20
603,The Matrix,The Matrix,Matrix,,,1999,8.7,,"A computer hacker named Neo discovers that his world is a simulated reality created by intelligent machines, and joins a rebellion to fight for humanity's freedom.",Welcome to the real world.,136,thumb.jpg,fanart.jpg,R,Action/Sci-Fi,USA,,Warner Bros.,,,trailer.mp4,Keanu Reeves,Neo,1,actor1.jpg,Laurence Fishburne,Morpheus,2,actor2.jpg,Carrie-Anne Moss,Trinity,3,actor3.jpg,tt0133093,603,H.264,2.35,1920,1080,8160,aac,English,6,English,2024-08-20
14,American Beauty,American Beauty,American Beauty,,,1999,8.3,,"A depressed suburban father in a mid-life crisis becomes infatuated with his teenage daughter's best friend, leading him to change his life in dramatic ways.",Look closer.,122,thumb.jpg,fanart.jpg,R,Drama,USA,,DreamWorks Pictures,Alan Ball,Sam Mendes,trailer.mp4,Kevin Spacey,Lester Burnham,1,actor1.jpg,Annette Bening,Carolyn Burnham,2,actor2.jpg,Thora Birch,Jane Burnham,3,actor3.jpg,tt0169547,14,H.264,2.35,1920,1080,7320,aac,English,6,English,2024-08-20
745,The Sixth Sense,The Sixth Sense,Sixth Sense,,,1999,8.2,,"A troubled child psychologist begins treating a young boy who claims to see dead people, and uncovers a shocking truth about his own life.",I see dead people.,107,thumb.jpg,fanart.jpg,PG-13,Thriller,USA,,Buena Vista Pictures,M. Night Shyamalan,M. Night Shyamalan,trailer.mp4,Bruce Willis,Malcolm Crowe,1,actor1.jpg,Haley Joel Osment,Cole Sear,2,actor2.jpg,Toni Collette,Lynn Sear,3,actor3.jpg,tt0167404,745,H.264,2.35,1920,1080,6420,aac,English,6,English,2024-08-20
497,The Green Mile,The Green Mile,Green Mile,,,1999,8.6,,"A death row corrections officer witnesses supernatural events surrounding an inmate with mysterious healing powers, leading him to question justice and fate.",Miracles happen.,189,thumb.jpg,fanart.jpg,R,Drama/Fantasy,USA,,Castle Rock Entertainment,Frank Darabont,Frank Darabont,trailer.mp4,Tom Hanks,Paul Edgecomb,1,actor1.jpg,Michael Clarke Duncan,John Coffey,2,actor2.jpg,David Morse,Brutus Howell,3,actor3.jpg,tt0120689,497,H.264,1.85,1920,1080,11340,aac,English,6,English,2024-08-20
863,Toy Story 2,Toy Story 2,Toy Story 2,,,1999,7.9,,"When Woody is kidnapped by a greedy toy collector, Buzz Lightyear and the other toys embark on a daring rescue mission to save their friend.",The toys are back!,92,thumb.jpg,fanart.jpg,G,Animation,USA,,Pixar Animation Studios,,,trailer.mp4,Tom Hanks,Woody,1,actor1.jpg,Tim Allen,Buzz Lightyear,2,actor2.jpg,Joan Cusack,Jessie,3,actor3.jpg,tt0120363,863,H.264,1.85,1920,1080,5520,aac,English,6,English,2024-08-20
205,Eyes Wide Shut,Eyes Wide Shut,Eyes Wide Shut,,,1999,7.5,,"After a shocking confession from his wife, a New York doctor embarks on a night-long odyssey through the city's seedy underworld, confronting his darkest desires.",Cruise. Kidman. Kubrick.,159,thumb.jpg,fanart.jpg,R,Drama/Thriller,USA,,Warner Bros.,Frederic Raphael,Stanley Kubrick,trailer.mp4,Tom Cruise,Dr. Bill Harford,1,actor1.jpg,Nicole Kidman,Alice Harford,2,actor2.jpg,Todd Field,Nightingale,3,actor3.jpg,tt0120663,205,H.264,1.85,1920,1080,9540,aac,English,6,English,2024-08-20
492,Being John Malkovich,Being John Malkovich,John Malkovich,,,1999,7.7,,"A puppeteer discovers a hidden portal that allows him to enter the mind of actor John Malkovich, leading to a surreal and bizarre journey of self-discovery.",Ever wanted to be someone else?,113,thumb.jpg,fanart.jpg,R,Comedy/Fantasy,USA,,Propaganda Films,Charlie Kaufman,Spike Jonze,trailer.mp4,John Cusack,Craig Schwartz,1,actor1.jpg,Cameron Diaz,Lotte Schwartz,2,actor2.jpg,Catherine Keener,Maxine Lund,3,actor3.jpg,tt0120601,492,H.264,1.85,1920,1080,6780,aac,English,6,English,2024-08-20
299,The Blair Witch Project,The Blair Witch Project,Blair Witch Project,,,1999,6.5,,"Three film students venture into the Maryland woods to document the local Blair Witch legend, only to find themselves lost and terrorized by an unseen presence.",Everything you've heard is true.,81,thumb.jpg,fanart.jpg,R,Horror,USA,,Artisan Entertainment,Daniel Myrick, Eduardo Sánchez,trailer.mp4,Heather Donahue,Heather,1,actor1.jpg,Michael C. Williams,Michael,2,actor2.jpg,Joshua Leonard,Josh,3,actor3.jpg,tt0185937,299,H.264,1.33,1920,1080,4860,aac,English,6,English,2024-08-20
550,All About My Mother,Todo sobre mi madre,All About My Mother,,,1999,7.8,,"A grieving woman embarks on a journey to find the father of her deceased son, encountering a series of complex and emotional challenges along the way.",A woman's journey of loss and discovery.,101,thumb.jpg,fanart.jpg,R,Drama,Spain,1999-04-19,El Deseo,Pedro Almodóvar,Pedro Almodóvar,trailer.mp4,Cecilia Roth,Manuela,1,actor1.jpg,Marisa Paredes,Huma Rojo,2,actor2.jpg,Penélope Cruz,Rosa,3,actor3.jpg,tt0185125,194,H.264,2.35,1920,1080,6060,aac,Spanish,6,English,2024-08-26
283,The Emperor and the Assassin,荆轲刺秦王,The Emperor and the Assassin,,,1999,7.3,,"The story of China's first emperor and his rise to power is told through a tale of love, betrayal, and political intrigue.",,162,thumb.jpg,fanart.jpg,R,Drama,China,1999-11-01,Beijing Film Studio,Wang Peigong,Chen Kaige,trailer.mp4,Li Xuejian,King of Qin,1,actor1.jpg,Gong Li,Lady Zhao,2,actor2.jpg,Zhang Fengyi,Jing Ke,3,actor3.jpg,tt0181865,283,H.264,2.35,1920,1080,9720,aac,Mandarin,6,English,2024-08-26
194,Not One Less,一个都不能少,Not One Less,,,1999,7.7,,A determined young substitute teacher in rural China goes to great lengths to keep her class intact when one of her students goes missing.,,106,thumb.jpg,fanart.jpg,G,Drama,China,1999-09-07,China Film Co-Production Corporation,Zhang Yimou,Zhang Yimou,trailer.mp4,Wei Minzhi,Wei Minzhi,1,actor1.jpg,Zhang Huike,Zhang Huike,2,actor2.jpg,,,3,actor3.jpg,tt0209180,194,H.264,1.85,1920,1080,6360,aac,Mandarin,2,English,2024-08-26
1,The Iron Giant,The Iron Giant,The Iron Giant,,,1999,8,,"A young boy befriends a giant robot from outer space, and together they must evade government agents who want to destroy the metal giant.",It came from outer space.,86,thumb.jpg,fanart.jpg,PG,Animation,USA/Japan,1999-08-06,Warner Bros.,Tim McCanlies,Brad Bird,trailer.mp4,Eli Marienthal,Hogarth Hughes,1,actor1.jpg,Vin Diesel,The Iron Giant,2,actor2.jpg,Jennifer Aniston,Annie Hughes,3,actor3.jpg,tt0129167,1,H.264,2.35,1920,1080,5160,aac,English,6,English,2024-08-26
3,The King of Masks,变脸,The King of Masks,,,1999,7.6,,"An aging street performer in 1930s China takes on a young apprentice, only to discover a secret that changes his life and challenges his traditions.",A story of honor and tradition.,91,thumb.jpg,fanart.jpg,PG,Drama,China,1999-03-27,Shanghai Film Group,Wu Tianming,Wu Tianming,trailer.mp4,Zhu Xu,Master Bian Lian,1,actor1.jpg,Zhou Renying,Doggie,2,actor2.jpg,,,3,actor3.jpg,tt0112558,3,H.264,1.85,1920,1080,5460,aac,Mandarin,2,English,2024-08-26
5,Himalaya,Himalaya - l'enfance d'un chef,Himalaya,,,1999,7.4,,A young boy must lead his people on a perilous journey through the mountains to secure their future and honor his father’s legacy.,,108,thumb.jpg,fanart.jpg,PG,Adventure,France/Nepal,1999-09-08,Galatée Films,Olivier Dazat,Éric Valli,trailer.mp4,Thilen Lhondup,Tinle,1,actor1.jpg,Gurgon Kyap,Karma,2,actor2.jpg,,,3,actor3.jpg,tt0210727,5,H.264,2.35,1920,1080,6480,aac,Tibetan,2,English,2024-08-26
7,Rosetta,Rosetta,Rosetta,,,1999,7.5,,A young woman struggles to find work and maintain her dignity in a harsh world that seems determined to keep her down.,A fight for survival.,95,thumb.jpg,fanart.jpg,R,Drama,Belgium,1999-05-21,Les Films du Fleuve,Jean-Pierre Dardenne,Jean-Pierre Dardenne,trailer.mp4,Émilie Dequenne,Rosetta,1,actor1.jpg,Fabrizio Rongione,Riquet,2,actor2.jpg,,,3,actor3.jpg,tt0204020,7,H.264,1.85,1920,1080,5700,aac,French,2,English,2024-08-26
9,Kikujiro,菊次郎の夏,Kikujiro,,,1999,7.8,,"A lonely boy sets out on a journey to find his mother, accompanied by an unlikely and irresponsible companion who learns valuable life lessons along the way.",,121,thumb.jpg,fanart.jpg,PG,Drama,Japan,1999-05-15,Office Kitano,Takeshi Kitano,Takeshi Kitano,trailer.mp4,Beat Takeshi,Kikujiro,1,actor1.jpg,Yusuke Sekiguchi,Masao,2,actor2.jpg,,,3,actor3.jpg,tt0199683,9,H.264,1.85,1920,1080,7260,aac,Japanese,2,English,2024-08-26
11,Beau Travail,Beau Travail,Beau Travail,,,1999,7.4,,"A tale of jealousy and betrayal unfolds among French Foreign Legion soldiers stationed in East Africa, leading to an inevitable confrontation.”",A soldier's story.,92,thumb.jpg,fanart.jpg,R,Drama,France,1999-09-13,Arte France Cinéma,Claire Denis,Claire Denis,trailer.mp4,Denis Lavant,Galoup,1,actor1.jpg,Michel Subor,Commandant,2,actor2.jpg,,,3,actor3.jpg,tt0204900,11,H.264,1.85,1920,1080,5520,aac,French,2,English,2024-08-26
